country,continent,gdpPercap_1952,gdpPercap_1957,gdpPercap_1962,gdpPercap_1967,gdpPercap_1972,gdpPercap_1977,gdpPercap_1982,gdpPercap_1987,gdpPercap_1992,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007
Argentina,Americas,5911.315053,6856.856212000001,7133.166023000001,8052.953020999999,9443.038526,10079.026740000001,8997.897412,9139.671389,9308.41871,10967.28195,8797.640716,12779.379640000001
Bolivia,Americas,2677.3263469999997,2127.686326,2180.972546,2586.886053,2980.331339,3548.097832,3156.510452,2753.6914899999997,2961.699694,3326.143191,3413.26269,3822.1370840000004
Brazil,Americas,2108.944355,2487.365989,3336.585802,3429.864357,4985.711467,6660.118654,7030.835878,7807.095818000001,6950.283020999999,7957.980823999999,8131.212843000001,9065.800825
Canada,Americas,11367.16112,12489.95006,13462.48555,16076.58803,18970.57086,22090.88306,22898.79214,26626.515030000002,26342.88426,28954.92589,33328.96507,36319.235010000004
Chile,Americas,3939.9787890000002,4315.6227229999995,4519.094331,5106.654313,5494.024437,4756.763836,5095.665738000001,5547.063754,7596.125964,10118.053179999999,10778.78385,13171.63885
Colombia,Americas,2144.115096,2323.805581,2492.351109,2678.729839,3264.660041,3815.80787,4397.575659,4903.2191,5444.648617,6117.3617460000005,5755.259962,7006.580419
Costa Rica,Americas,2627.0094710000003,2990.010802,3460.937025,4161.727834,5118.146939,5926.876967,5262.734751,5629.915318,6160.416317,6677.045314,7723.447195000001,9645.06142
Cuba,Americas,5586.53878,6092.174359000001,5180.75591,5690.268015,5305.445256,6380.494965999999,7316.9181069999995,7532.924762999999,5592.843963,5431.990415,6340.646683,8948.102923
Dominican Republic,Americas,1397.7171369999999,1544.402995,1662.137359,1653.7230029999998,2189.874499,2681.9889,2861.092386,2899.842175,3044.214214,3614.101285,4563.808154,6025.374752000001
Ecuador,Americas,3522.110717,3780.5466509999997,4086.114078,4579.074215,5280.99471,6679.62326,7213.7912670000005,6481.776993,7103.702595000001,7429.455876999999,5773.0445119999995,6873.262326000001
El Salvador,Americas,3048.3029,3421.523218,3776.8036270000002,4358.595393,4520.246008,5138.922374,4098.344175,4140.442097,4444.2317,5154.825496,5351.568665999999,5728.353514
Guatemala,Americas,2428.2377690000003,2617.155967,2750.364446,3242.5311469999997,4031.4082710000002,4879.992748,4820.49479,4246.485974,4439.4508399999995,4684.313807,4858.347495,5186.050003
Haiti,Americas,1840.366939,1726.887882,1796.589032,1452.057666,1654.456946,1874.2989309999998,2011.1595489999997,1823.015995,1456.309517,1341.7269310000001,1270.364932,1201.637154
Honduras,Americas,2194.926204,2220.487682,2291.1568350000002,2538.269358,2529.842345,3203.208066,3121.7607940000003,3023.0966989999997,3081.694603,3160.454906,3099.72866,3548.3308460000003
Jamaica,Americas,2898.5308809999997,4756.525781,5246.107524,6124.703450999999,7433.889293000001,6650.195573,6068.05135,6351.237495,7404.923685,7121.924704000001,6994.774861,7320.880262000001
Mexico,Americas,3478.125529,4131.546641,4581.609385,5754.733883,6809.406690000001,7674.929108,9611.147541,8688.156003,9472.384295,9767.29753,10742.44053,11977.57496
Nicaragua,Americas,3112.363948,3457.415947,3634.364406,4643.393534000001,4688.593267,5486.371089,3470.3381560000003,2955.984375,2170.151724,2253.023004,2474.548819,2749.320965
Panama,Americas,2480.380334,2961.800905,3536.540301,4421.009084,5364.2496630000005,5351.912144,7009.601598,7034.779161,6618.74305,7113.692252,7356.031934000001,9809.185636
Paraguay,Americas,1952.3087010000002,2046.1547059999998,2148.027146,2299.376311,2523.337977,3248.373311,4258.5036039999995,3998.875695,4196.411078,4247.400261,3783.674243,4172.838464
Peru,Americas,3758.523437,4245.256697999999,4957.037982,5788.09333,5937.827283,6281.290854999999,6434.501797,6360.9434439999995,4446.380924,5838.347657,5909.020073,7408.905561
Puerto Rico,Americas,3081.959785,3907.1561890000003,5108.34463,6929.277714,9123.041742,9770.524921,10330.98915,12281.34191,14641.587109999999,16999.4333,18855.606180000002,19328.70901
Trinidad and Tobago,Americas,3023.271928,4100.3934,4997.5239710000005,5621.368472,6619.551418999999,7899.554209000001,9119.528607,7388.597823,7370.990932,8792.573126000001,11460.60023,18008.50924
United States,Americas,13990.482080000002,14847.12712,16173.145859999999,19530.365569999998,21806.03594,24072.63213,25009.55914,29884.350410000003,32003.93224,35767.43303,39097.09955,42951.65309
Uruguay,Americas,5716.766744,6150.772969,5603.357717,5444.61962,5703.408898,6504.339663000001,6920.223051000001,7452.398969,8137.004775,9230.240708,7727.002004000001,10611.46299
Venezuela,Americas,7689.799761,9802.466526,8422.974165000001,9541.474188,10505.25966,13143.95095,11152.410109999999,9883.584648,10733.926309999999,10165.49518,8605.047831,11415.805690000001
